58,21,80,
90,30,78,
48,13,55,
66,22,39,
26,73,29,
49,19,93,
98,15,92,
98,49,87,
57,26,71,
40,71,15,
19,29,34,
97,20,62,
76,67,75,
30,34,98,
67,59,72,
96,9,89,
88,6,3,
82,6,52,
70,61,79,
41,3,49,
54,20,76,
86,18,97,
49,93,63,
25,24,95,
22,92,55,
94,87,62,
82,75,69,
86,58,73,
39,27,35,
17,66,36,
65,21,56,
42,8,73,
38,55,67,
0,81,91,
96,4,82,
52,97,69,
14,80,45,
83,67,4,
57,6,29,
90,21,96,
26,84,16,
82,26,23,
54,64,78,
22,63,58,
13,60,61,
93,11,57,
63,25,38,
9,7,5,
11,62,9,
39,52,28,
34,78,14,
50,59,40,
71,15,3,
51,37,66,
8,48,25,
69,43,37,
25,7,60,
64,17,68,
67,26,29,
74,65,81,
3,0,60,
17,49,21,
55,21,34,
59,70,69,
24,79,19,
50,47,60,
85,73,67,
46,36,82,
13,2,10,
41,76,73,
23,79,74,
84,95,24,
4,51,43,
36,9,15,
6,34,94,
23,84,40,
83,68,12,
50,13,48,
33,25,48,
41,66,25,
14,89,6,
88,72,2,
11,74,51,
52,11,61,
67,16,93,
60,39,76,
2,24,45,
12,72,58,
59,6,83,
8,46,50,
34,60,39,
38,47,12,
38,56,85,
89,9,96,
49,75,11,
43,36,51,
20,36,73,
65,49,46,
23,9,50,
5,17,94,
